"Jahr","Energietraeger","Anteil","Kanton"
"2015","Andere_Energieträger",0.013,"ZH"
"2015","Elektrizität",0.041,"ZH"
"2015","Fernwärme",0.033,"ZH"
"2015","Gas",0.217,"ZH"
"2015","Heizöl",0.493,"ZH"
"2015","Holz",0.067,"ZH"
"2015","Kohle",0.001,"ZH"
"2015","Sonnenkollektor",0.002,"ZH"
"2015","Wärmepumpe",0.133,"ZH"
"2015","Andere_Energieträger",0.007,"BE"
"2015","Elektrizität",0.079,"BE"
"2015","Fernwärme",0.009,"BE"
"2015","Gas",0.103,"BE"
"2015","Heizöl",0.527,"BE"
"2015","Holz",0.181,"BE"
"2015","Kohle",0.001,"BE"
"2015","Sonnenkollektor",0.002,"BE"
"2015","Wärmepumpe",0.091,"BE"
"2015","Andere_Energieträger",0.011,"LU"
"2015","Elektrizität",0.081,"LU"
"2015","Fernwärme",0.014,"LU"
"2015","Gas",0.082,"LU"
"2015","Heizöl",0.477,"LU"
"2015","Holz",0.165,"LU"
"2015","Kohle",0,"LU"
"2015","Sonnenkollektor",0.002,"LU"
"2015","Wärmepumpe",0.167,"LU"
"2015","Andere_Energieträger",0.004,"UR"
"2015","Elektrizität",0.125,"UR"
"2015","Fernwärme",0.01,"UR"
"2015","Gas",0.001,"UR"
"2015","Heizöl",0.395,"UR"
"2015","Holz",0.287,"UR"
"2015","Kohle",0.001,"UR"
"2015","Sonnenkollektor",0.001,"UR"
"2015","Wärmepumpe",0.176,"UR"
"2015","Andere_Energieträger",0.008,"SZ"
"2015","Elektrizität",0.093,"SZ"
"2015","Fernwärme",0.009,"SZ"
"2015","Gas",0.075,"SZ"
"2015","Heizöl",0.49,"SZ"
"2015","Holz",0.168,"SZ"
"2015","Kohle",0.001,"SZ"
"2015","Sonnenkollektor",0.008,"SZ"
"2015","Wärmepumpe",0.149,"SZ"
"2015","Andere_Energieträger",0.019,"OW"
"2015","Elektrizität",0.126,"OW"
"2015","Fernwärme",0.03,"OW"
"2015","Gas",0.001,"OW"
"2015","Heizöl",0.409,"OW"
"2015","Holz",0.268,"OW"
"2015","Kohle",0.001,"OW"
"2015","Sonnenkollektor",0.001,"OW"
"2015","Wärmepumpe",0.146,"OW"
"2015","Andere_Energieträger",0.014,"NW"
"2015","Elektrizität",0.107,"NW"
"2015","Fernwärme",0.015,"NW"
"2015","Gas",0.011,"NW"
"2015","Heizöl",0.502,"NW"
"2015","Holz",0.191,"NW"
"2015","Kohle",0,"NW"
"2015","Sonnenkollektor",0.003,"NW"
"2015","Wärmepumpe",0.157,"NW"
"2015","Andere_Energieträger",0.004,"GL"
"2015","Elektrizität",0.108,"GL"
"2015","Fernwärme",0.003,"GL"
"2015","Gas",0.077,"GL"
"2015","Heizöl",0.443,"GL"
"2015","Holz",0.299,"GL"
"2015","Kohle",0.002,"GL"
"2015","Sonnenkollektor",0.001,"GL"
"2015","Wärmepumpe",0.063,"GL"
"2015","Andere_Energieträger",0.016,"ZG"
"2015","Elektrizität",0.104,"ZG"
"2015","Fernwärme",0.013,"ZG"
"2015","Gas",0.153,"ZG"
"2015","Heizöl",0.526,"ZG"
"2015","Holz",0.087,"ZG"
"2015","Kohle",0,"ZG"
"2015","Sonnenkollektor",0.001,"ZG"
"2015","Wärmepumpe",0.099,"ZG"
"2015","Andere_Energieträger",0.003,"FR"
"2015","Elektrizität",0.12,"FR"
"2015","Fernwärme",0.008,"FR"
"2015","Gas",0.051,"FR"
"2015","Heizöl",0.451,"FR"
"2015","Holz",0.104,"FR"
"2015","Kohle",0.001,"FR"
"2015","Sonnenkollektor",0.009,"FR"
"2015","Wärmepumpe",0.253,"FR"
"2015","Andere_Energieträger",0.005,"SO"
"2015","Elektrizität",0.062,"SO"
"2015","Fernwärme",0.005,"SO"
"2015","Gas",0.175,"SO"
"2015","Heizöl",0.534,"SO"
"2015","Holz",0.066,"SO"
"2015","Kohle",0.001,"SO"
"2015","Sonnenkollektor",0.002,"SO"
"2015","Wärmepumpe",0.15,"SO"
"2015","Andere_Energieträger",0,"BS"
"2015","Elektrizität",0.01,"BS"
"2015","Fernwärme",0.3,"BS"
"2015","Gas",0.457,"BS"
"2015","Heizöl",0.226,"BS"
"2015","Holz",0.003,"BS"
"2015","Kohle",0,"BS"
"2015","Sonnenkollektor",0,"BS"
"2015","Wärmepumpe",0.003,"BS"
"2015","Andere_Energieträger",0.004,"BL"
"2015","Elektrizität",0.043,"BL"
"2015","Fernwärme",0.052,"BL"
"2015","Gas",0.332,"BL"
"2015","Heizöl",0.424,"BL"
"2015","Holz",0.077,"BL"
"2015","Kohle",0,"BL"
"2015","Sonnenkollektor",0,"BL"
"2015","Wärmepumpe",0.067,"BL"
"2015","Andere_Energieträger",0.006,"SH"
"2015","Elektrizität",0.05,"SH"
"2015","Fernwärme",0.016,"SH"
"2015","Gas",0.268,"SH"
"2015","Heizöl",0.439,"SH"
"2015","Holz",0.097,"SH"
"2015","Kohle",0.001,"SH"
"2015","Sonnenkollektor",0.002,"SH"
"2015","Wärmepumpe",0.121,"SH"
"2015","Andere_Energieträger",0.004,"AR"
"2015","Elektrizität",0.04,"AR"
"2015","Fernwärme",0.018,"AR"
"2015","Gas",0.166,"AR"
"2015","Heizöl",0.422,"AR"
"2015","Holz",0.261,"AR"
"2015","Kohle",0.001,"AR"
"2015","Sonnenkollektor",0.003,"AR"
"2015","Wärmepumpe",0.085,"AR"
"2015","Andere_Energieträger",0.003,"AI"
"2015","Elektrizität",0.044,"AI"
"2015","Fernwärme",0.003,"AI"
"2015","Gas",0.039,"AI"
"2015","Heizöl",0.402,"AI"
"2015","Holz",0.337,"AI"
"2015","Kohle",0,"AI"
"2015","Sonnenkollektor",0.004,"AI"
"2015","Wärmepumpe",0.168,"AI"
"2015","Andere_Energieträger",0.008,"SG"
"2015","Elektrizität",0.038,"SG"
"2015","Fernwärme",0.012,"SG"
"2015","Gas",0.191,"SG"
"2015","Heizöl",0.479,"SG"
"2015","Holz",0.152,"SG"
"2015","Kohle",0.001,"SG"
"2015","Sonnenkollektor",0.004,"SG"
"2015","Wärmepumpe",0.115,"SG"
"2015","Andere_Energieträger",0.004,"GR"
"2015","Elektrizität",0.144,"GR"
"2015","Fernwärme",0.003,"GR"
"2015","Gas",0.035,"GR"
"2015","Heizöl",0.436,"GR"
"2015","Holz",0.246,"GR"
"2015","Kohle",0.001,"GR"
"2015","Sonnenkollektor",0.005,"GR"
"2015","Wärmepumpe",0.126,"GR"
"2015","Andere_Energieträger",0.006,"AG"
